"","SLA.13.comps"
"Wave_1212",-13.9593728649581
"Wave_1213",-13.5329880232623
"Wave_1214",-13.3116568820576
"Wave_1215",-12.9310729776704
"Wave_1216",-12.5252643292228
"Wave_1217",-12.7207723186783
"Wave_1218",-12.8997486904677
"Wave_1219",-13.5039223305389
"Wave_1220",-15.0708184116269
"Wave_1221",-16.2186011129252
"Wave_1222",-17.6767082648238
"Wave_1223",-18.470281594563
"Wave_1224",-18.6981436226064
"Wave_1225",-19.1396151550519
"Wave_1226",-20.2203265940007
"Wave_1227",-20.8886695247076
"Wave_1228",-22.197127591892
"Wave_1229",-23.7999327695231
"Wave_1230",-24.2021335834177
"Wave_1231",-23.5744456116162
"Wave_1232",-23.312559122219
"Wave_1233",-22.5668100573175
"Wave_1234",-22.1592094655511
"Wave_1235",-21.9124396020895
"Wave_1236",-21.5882714872671
